,uuid,default
0,6f6e6c6a-2081-4e6b-8eb3-4fd89b54b2d7,0.40890522660530976
1,f6f6d9f3-ef2b-4329-a388-c6a687f27e70,0.5447774513035272
2,e9c39869-1bc5-4375-b627-a2df70b445ea,0.032655721839877236
3,6beb88a3-9641-4381-beb6-c9a208664dd0,0.8137049904638566
4,bb89b735-72fe-42a4-ba06-d63be0f4ca36,0.7169737690874822
5,e4eede99-76a3-4437-a540-3059a1eff67c,0.5473655835880618
6,a2af8d9e-9f81-4185-8fff-b2ec49d681a6,0.055874451552926536
7,ec910486-1e66-402a-80f2-08c6f04a9a1b,0.9362268441510324
8,08973cf0-646a-4fa7-9f1f-d03f76ffd59c,0.16462965488428905
9,0591fb4e-5b48-4bac-bce7-f2d5d141e976,0.07960279526239541
10,0d08fe69-ca57-433d-a6db-83970f6d11d8,0.21293892151311228
11,53cfc224-c727-467c-b11b-585ce4137d83,0.14710282253094165
12,7d7c6bed-ce10-45c3-8ef4-55e84ae7f9d9,0.5060885501484728
13,d1087a43-7eb0-47ad-839c-14a0e8c5c0da,0.07103485894305812
14,5c678d63-1da0-42e8-aed0-bafda88ffe98,0.27634558546386123
15,8d1bd7fd-d065-425f-a35f-044a7af0217d,0.6267726674436943
16,a0e7a004-a491-491b-a95c-d17de6b8b740,0.934226917389055
17,a111eeef-b3e1-4b2e-8d70-eacad33d87d4,0.1841957010667942
18,484f9dcf-c62e-4903-a5e6-7a0aff8006d4,0.03832979098658012
19,42df7daa-098c-49f6-b39b-96873d44fbc5,0.6786943528620681
20,ee10e62a-a3e2-418d-adaf-6c81e96c87a2,0.2711670639049056
21,00463b34-2e21-4966-9bbe-64a218e6f73d,0.9232594007590087
22,8f7cb7a6-f30b-453c-9c00-b97ccf33c4dd,0.5375226161893965
23,65018d72-260a-4fe0-8149-11b4bb374114,0.258998188783694
24,4f1b8a2c-d178-4607-92ac-13457059047d,0.723878307230801
25,bea496e1-0b89-4c0b-b0f6-4b473dd5197d,0.6017901017195377
26,068370bd-153c-4700-af73-41bba5a64992,0.1895046049209343
27,09323f87-508f-4f84-99be-4510fad46dbb,0.27203328557874323
28,055cf2d1-8b9d-4cfb-b51c-bc62be31d3db,0.8096688530429109
29,163735a0-ff17-488e-a523-96b0635189b0,0.6196831363776519
30,6fb81f66-43ce-43b0-a1f2-bb4f0c1871b6,0.5937661580571583
31,896de916-7f49-4fba-bf88-b5be8cd52a6b,0.9980761365484381
32,653172be-8353-47fc-935f-9473b9abb5fa,0.23503858757495225
33,5bb154ca-8d8f-480a-94e3-7a1ccae8593b,0.5102799977406697
34,e36b7cb5-bb6d-4f69-8cec-17d243c1a472,0.01109034961184756
35,08ea1329-7307-435a-bd98-5d18a84ab32f,0.3067476730559375
36,2e90bbd5-8e45-4baa-955e-ab053fd791cb,0.23121842697723285
37,d99f5fa0-ab7f-4e74-acf5-15493a72184c,0.004208295182648307
